Order ID,Order Date,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100000,2023-01-14,Customer 1,Consumer,India,Jaipur,Telangana,North,Furniture,Bookcases,Product 190,3876.23,2,0.05,572.69
ORD-100001,2025-03-13,Customer 2,Home Office,India,Chennai,Telangana,West,Office Supplies,Labels,Product 394,499.27,8,0.0,116.68
ORD-100002,2022-08-31,Customer 3,Consumer,India,Bengaluru,Maharashtra,East,Office Supplies,Labels,Product 202,293.8,6,0.0,43.74
ORD-100003,2023-04-25,Customer 4,Consumer,India,Kolkata,Karnataka,West,Furniture,Tables,Product 422,1408.22,4,0.0,130.69
ORD-100004,2025-09-29,Customer 5,Consumer,India,Kolkata,Tamil Nadu,South,Technology,Phones,Product 89,1258.52,6,0.3,-71.3
ORD-100005,2022-03-10,Customer 6,Consumer,India,Bengaluru,Telangana,South,Technology,Tablets,Product 116,1205.52,6,0.1,97.67
ORD-100006,2023-12-17,Customer 7,Consumer,India,Pune,Delhi,North,Technology,Laptops,Product 268,2385.37,10,0.05,419.1
ORD-100007,2024-07-06,Customer 8,Corporate,India,Ahmedabad,Gujarat,East,Office Supplies,Pens,Product 193,176.3,3,0.2,-4.53
ORD-100008,2024-11-01,Customer 9,Consumer,India,Mumbai,Telangana,West,Furniture,Bookcases,Product 218,508.55,8,0.2,67.66
ORD-100009,2025-01-21,Customer 10,Consumer,India,Delhi,Telangana,South,Office Supplies,Pens,Product 164,506.31,5,0.05,103.12
ORD-100010,2023-05-02,Customer 11,Corporate,India,Kochi,West Bengal,East,Technology,Accessories,Product 13,1774.09,10,0.1,94.4
ORD-100011,2024-03-17,Customer 12,Consumer,India,Jaipur,Uttar Pradesh,South,Office Supplies,Binders,Product 275,625.1,4,0.0,42.77
ORD-100012,2025-12-14,Customer 13,Corporate,India,Kochi,Maharashtra,East,Office Supplies,Paper,Product 101,1691.73,2,0.1,195.29
ORD-100013,2024-02-13,Customer 14,Corporate,India,Mumbai,Telangana,East,Technology,Laptops,Product 247,1926.53,10,0.05,177.51
ORD-100014,2023-11-19,Customer 15,Consumer,India,Ahmedabad,Maharashtra,West,Technology,Phones,Product 312,2655.41,1,0.1,302.34
ORD-100015,2024-10-28,Customer 16,Home Office,India,Mumbai,Karnataka,West,Technology,Accessories,Product 159,954.75,7,0.1,108.41
ORD-100016,2022-03-11,Customer 17,Home Office,India,Kochi,Kerala,South,Technology,Tablets,Product 221,2965.2,10,0.2,76.7
ORD-100017,2025-10-05,Customer 18,Consumer,India,Bengaluru,Uttar Pradesh,North,Furniture,Storage,Product 155,923.31,3,0.1,170.42
ORD-100018,2022-03-02,Customer 19,Home Office,India,Chennai,Rajasthan,South,Furniture,Storage,Product 83,1361.77,3,0.1,107.25
ORD-100019,2025-07-01,Customer 20,Consumer,India,Mumbai,Delhi,South,Technology,Phones,Product 53,1677.05,3,0.0,175.33
ORD-100020,2022-12-05,Customer 21,Consumer,India,Jaipur,Telangana,East,Furniture,Bookcases,Product 396,2544.15,10,0.2,385.7
ORD-100021,2024-05-11,Customer 22,Corporate,India,Bengaluru,Gujarat,East,Technology,Laptops,Product 316,768.21,3,0.3,-13.02
ORD-100022,2022-10-31,Customer 23,Consumer,India,Pune,Telangana,West,Technology,Tablets,Product 344,408.07,2,0.2,-1.39
ORD-100023,2025-09-07,Customer 24,Consumer,India,Mumbai,Uttar Pradesh,South,Furniture,Chairs,Product 359,1131.6,6,0.4,104.16
ORD-100024,2023-09-11,Customer 25,Home Office,India,Mumbai,Delhi,East,Furniture,Storage,Product 149,1762.81,10,0.0,147.87
ORD-100025,2025-03-21,Customer 26,Corporate,India,Pune,Kerala,North,Office Supplies,Binders,Product 24,552.02,3,0.0,39.29
ORD-100026,2025-10-31,Customer 27,Corporate,India,Delhi,Telangana,South,Technology,Accessories,Product 318,4009.71,1,0.1,467.43
ORD-100027,2022-10-11,Customer 28,Home Office,India,Bengaluru,West Bengal,West,Furniture,Tables,Product 278,1727.47,10,0.0,86.07
ORD-100028,2024-11-23,Customer 29,Consumer,India,Mumbai,Uttar Pradesh,North,Furniture,Bookcases,Product 103,901.1,9,0.0,153.37
ORD-100029,2025-08-29,Customer 30,Corporate,India,Hyderabad,Rajasthan,East,Technology,Accessories,Product 415,397.03,6,0.1,35.43
ORD-100030,2022-10-09,Customer 31,Corporate,India,Hyderabad,Karnataka,East,Furniture,Bookcases,Product 339,1114.17,6,0.05,169.16
ORD-100031,2023-12-04,Customer 32,Home Office,India,Kochi,Tamil Nadu,North,Technology,Tablets,Product 397,3511.21,10,0.05,247.35
ORD-100032,2023-10-24,Customer 33,Corporate,India,Delhi,West Bengal,South,Technology,Laptops,Product 240,1395.09,9,0.4,45.6
ORD-100033,2023-04-25,Customer 34,Consumer,India,Chennai,Delhi,South,Office Supplies,Labels,Product 98,509.29,2,0.0,49.31
ORD-100034,2023-09-11,Customer 35,Home Office,India,Pune,Rajasthan,West,Office Supplies,Binders,Product 242,657.53,10,0.0,114.34
ORD-100035,2024-07-20,Customer 36,Consumer,India,Jaipur,Rajasthan,West,Office Supplies,Paper,Product 170,258.44,9,0.0,61.63
ORD-100036,2025-05-14,Customer 37,Corporate,India,Hyderabad,Karnataka,West,Technology,Phones,Product 34,2699.02,3,0.3,9.15
ORD-100037,2023-07-03,Customer 38,Home Office,India,Kolkata,Gujarat,North,Technology,Laptops,Product 475,5216.97,3,0.2,-167.07
ORD-100038,2023-10-05,Customer 39,Consumer,India,Jaipur,Maharashtra,North,Office Supplies,Binders,Product 162,446.88,3,0.0,24.29
ORD-100039,2024-09-14,Customer 40,Corporate,India,Delhi,Telangana,South,Furniture,Tables,Product 231,624.05,1,0.0,151.17
ORD-100040,2024-01-14,Customer 41,Consumer,India,Kochi,West Bengal,South,Technology,Laptops,Product 155,1723.74,10,0.2,166.61
ORD-100041,2024-12-23,Customer 42,Consumer,India,Delhi,Rajasthan,West,Furniture,Bookcases,Product 353,306.21,7,0.05,65.76
ORD-100042,2022-12-30,Customer 43,Home Office,India,Ahmedabad,Telangana,East,Technology,Tablets,Product 452,2240.67,10,0.4,-131.49
ORD-100043,2025-05-26,Customer 44,Consumer,India,Kochi,Delhi,East,Office Supplies,Pens,Product 476,670.88,7,0.1,47.22
ORD-100044,2023-02-11,Customer 45,Corporate,India,Jaipur,West Bengal,South,Technology,Tablets,Product 71,5349.22,2,0.0,352.16
ORD-100045,2024-08-24,Customer 46,Corporate,India,Delhi,Karnataka,West,Office Supplies,Labels,Product 90,440.76,6,0.3,18.63
ORD-100046,2024-12-17,Customer 47,Corporate,India,Kochi,Kerala,West,Technology,Tablets,Product 282,2347.39,4,0.05,269.04
ORD-100047,2025-07-14,Customer 48,Corporate,India,Pune,Rajasthan,North,Furniture,Bookcases,Product 434,742.69,7,0.05,74.37
ORD-100048,2022-09-22,Customer 49,Consumer,India,Chennai,Kerala,South,Furniture,Tables,Product 377,1031.16,7,0.05,135.75
ORD-100049,2024-06-19,Customer 50,Corporate,India,Ahmedabad,Rajasthan,East,Technology,Accessories,Product 277,667.92,4,0.2,-21.68
ORD-100050,2025-09-11,Customer 51,Home Office,India,Kolkata,Maharashtra,North,Office Supplies,Pens,Product 145,440.54,3,0.0,46.23
ORD-100051,2023-09-14,Customer 52,Consumer,India,Kochi,West Bengal,North,Office Supplies,Labels,Product 416,410.0,7,0.05,59.03
